index,profile1,KBH,Kalundborg,Vordingborg,Ronne,Helsingor,Hillerod,Naestved,Slagelse,Nykobing_F,DTU,Odense,Arhus,Alborg,TVIS,Esbjerg,Herning,Randers,Thisted,Svendborg,Frederikshavn,Hjorring,Holstebro_Struer,Horsens,Silkeborg,Sonderborg,Viborg,Bronderslev,Grena,NG_DK_West,BIO_DK_West,OVR_DK_West,NG_DK_East,BIO_DK_East,OVR_DK_East
t0210,136.9837428240621,1321.6030384463058,90.16787080268014,14.599456494678607,21.575864391944332,78.07782135549888,45.60907022675101,30.55448970814555,25.342090068275162,32.233447553678516,15.015167385961655,358.16600264390263,426.34713398612536,256.0608150146292,238.0916560013272,159.05394459772927,108.2524076466778,76.30760864624752,28.101578653804726,24.471834454752546,30.241362144333298,46.294071315280554,72.68961403942538,41.55324078946629,53.90254905200716,45.01330706271868,43.28186779241529,17.20387532735476,32.95218854187374,310.03380473612935,439.2403070810796,184.07908694222087,66.87743363599624,172.22004688287655,23.487078054825112
t0211,130.6038063630554,1260.050161892259,85.96835577494278,13.91949547973604,20.570981322800147,74.44139319992061,43.48485487029084,29.13143249772299,24.161797275192686,30.732193878811508,14.315844883167639,341.48463380223114,406.49026944813886,244.1349346417653,227.0026785367875,151.64610159763467,103.21061605667985,72.75362709619085,26.792764318839986,23.332073299984547,28.832888664214252,44.137952439976175,69.30413843928598,39.61792328010168,51.39206984514398,42.916839021771835,41.266040507100406,16.40261505216593,31.417459932375287,295.5941644240586,418.78295066405155,175.505712801029,63.762656886021944,164.1990004888125,22.39318134449105
t0212,126.5606781344043,1221.042536303606,83.30701614263391,13.488586866351078,19.934161328089832,72.13689605999762,42.138685496359,28.22960489902977,23.413815670837923,29.780811188980884,13.872666401805255,330.9132255023966,393.906468647501,236.57720050416953,219.97531108763235,146.95156281497535,100.01550431456698,70.50137847005453,25.9633353400247,22.60977762714718,27.94030314685359,42.77156499358848,67.15867632536182,38.39146328299378,49.8011152312937,41.58825382838894,39.988559414435144,15.894836008140539,30.444863323881385,286.443396588968,405.8186028654824,170.0725472488487,61.78874352799139,159.11585909745705,21.69995113823248
t0213,123.9121337029432,1195.4896911563192,81.56364421259497,13.2063102369922,19.516997697492886,70.62728203786276,41.2568461884031,27.638841923042307,22.923833063061448,29.157586007181482,13.58235211233061,323.9881805862304,385.66315959265455,231.6263323811293,215.37187190076776,143.87629687040777,97.92247264851657,69.02599104238213,25.419998750409142,22.136621181451147,27.355594409481412,41.876481370787864,65.75324186635126,37.58804236432714,48.75892370410924,40.717933443613546,39.15171594993681,15.562203629593697,29.807741475202377,280.4489749870322,397.32600771945084,166.51342679690248,60.4956860395964,155.7860300480095,21.245834697033352
t0214,124.3972543277654,1200.1700778836803,81.88296892165089,13.258013434107054,19.593407471376363,70.90379048112659,41.4183682799288,27.74704901997772,23.013580724461036,29.271739043848743,13.635527527412115,325.2566063965533,387.1730452459919,232.53315811104036,216.21506081167863,144.43957793860568,98.30584278101117,69.29623037167758,25.51951899357065,22.223286878974704,27.462692581837356,42.04042935716225,66.01066826056346,37.73520095205141,48.94981670890328,40.87734567164433,39.30499637806686,15.623130237205002,29.92443989477487,281.54694318361425,398.8815538581773,167.16533307302757,60.732528906663255,156.39593816577818,21.329012932248016
t0215,126.3353191402204,1218.8682992349259,83.15867634513039,13.46456855028347,19.89866576491003,72.00844622408283,42.06365167132208,28.17933813797862,23.37212409627174,29.727782288105356,13.847964178389232,330.3239882072063,393.2050630696749,236.1559416997892,219.58361427008407,146.68989499778363,99.8374127162335,70.37584090202952,25.917103988991062,22.5695177548086,27.89055152804762,42.69540423806227,67.03909090617394,38.32310191137159,49.712437378083706,41.51420012394627,39.91735418970548,15.866533028824099,30.39065198527391,285.93334404581276,405.0959860660863,169.76970928407746,61.678720025442146,158.83253104886026,21.661311339248797
t0216,128.7444101148617,1242.110925595842,84.74443097027853,13.721324703611616,20.278113859297967,73.38157686622606,42.865764368638054,28.716690555668098,23.817807643847463,30.294662021292933,14.112031311367982,336.6229435912842,400.7030990509909,240.65920453736058,223.77085903201828,149.4871278263801,101.74121453145877,71.71783935743925,26.41131781402141,22.999896384436056,28.422397067531413,43.509563838944864,68.31746080264736,39.05388598318346,50.660404937987025,42.30583531764098,40.67853909321805,16.169092295533698,30.97017199527149,291.38581326168753,412.820770319111,173.00705159806492,62.85487289189273,161.86131207093172,22.074371360796373
t0217,131.7689966767803,1271.2917809869045,86.73532802655821,14.043679159803068,20.754506664431556,75.10552690867037,43.872807818214476,29.391330458712883,24.377358313811868,31.006373136095664,14.44356462009694,344.53121107032524,410.1167987030961,246.3130002664048,229.02789762944857,152.9990221105676,104.1314162496583,73.40270329038066,27.031797700267198,23.540231902442795,29.090123147065846,44.53173204014912,69.92243979710419,39.97137714749928,51.85056752337683,43.29972437952971,41.63419815903737,16.548952044254914,31.69775283512026,298.23132689865815,422.51914987030153,177.07149837997815,64.33151955740863,165.66391250187453,22.592963561584735
t0218,135.4819767180084,1307.114175696035,89.17935165847476,14.439401232072202,21.339326090503345,77.22184660018212,45.109053550442724,30.21951786341801,25.064262268154565,31.880069130667064,14.850554644390407,354.239393894409,421.6730488572365,253.2535953756437,235.4814340016537,157.31022072140186,107.06562596477204,75.47104090516801,27.793498311722903,24.203547351630345,29.90982314756647,45.786544905363336,71.8927107253822,41.097688566057876,53.31161016008209,44.51982179596699,42.80736446291561,17.01526756758156,32.59093049144921,306.63487395730266,434.4248728405786,182.0610099945192,66.14424982145127,170.33198174565905,23.229586931967734
t0219,139.778431679937,1348.565867810518,92.0074405099692,14.89730890786542,22.01604675613539,79.67073459275404,46.539568676141656,31.177850481649685,25.859109498744004,32.89106176984425,15.32150097049905,365.4731656364322,435.0453018089711,261.284867821149,242.94910903908163,162.29890109611557,110.46093101620174,77.86440669472859,28.67489609335774,24.97109926985803,30.85833461149529,47.23854488952113,74.17259917405367,42.4009937896815,55.00224781941764,45.93165098456514,44.16488756605566,17.554862077052288,33.624466231153576,316.3589934131054,448.2015163891592,187.83459662732116,68.2418409345476,175.73361306130985,23.966252254213053
t0220,144.382776579709,1392.9880458306425,95.03819414171107,15.388030884538619,22.741262165812245,82.29511330465147,48.072596505229384,32.20485854809977,26.710916587306993,33.974503547577434,15.826195965302707,377.5119650847964,449.37582900461587,269.89167241954823,250.95192805532054,167.64507724446165,114.09954834961911,80.42928440532967,29.619456065823755,25.79365502601461,31.874817726066464,48.79459721190483,76.61586759969954,43.79769567819472,56.8140389246664,47.44465381631207,45.61969266273468,18.133124679509848,34.73206657934942,326.7799567928778,462.96541337422394,194.02192650781427,70.48974834402196,181.52233278932985,24.755708037963803
t0221,149.7296033271216,1444.5736013845035,98.55767735501634,15.957885108654054,23.583423479637368,85.34269088573325,49.85283547071176,33.39747863174636,27.700083346945213,35.232657661257086,16.412276451505004,391.49210260673505,466.0172509185109,279.8863826417893,260.24525592327564,173.85336056132863,118.32491740980366,83.40776604504421,30.716332741062978,26.748853477475958,33.055215637949985,50.601573526408686,79.45312963235023,45.41962522044817,58.917993635519615,49.201638617797315,47.309094949600876,18.80463604912979,36.018274996853144,338.88137120593206,480.1100888957509,201.20700530191675,73.10014607145538,188.2445228399894,25.67246892194256
t0222,155.782983431717,1502.9759006221502,102.54224066112859,16.603042392729005,24.53687171777897,88.79298886022042,51.86832309433663,34.74769681305936,28.819962981313147,36.65706982945551,17.075804207773793,407.3196373918791,484.8577439968585,291.2018381200854,270.7666452779213,180.8820339201952,123.10864544360831,86.77983743457928,31.95815555611884,27.830276081044435,34.39159655561473,52.64733169072288,82.66532003075483,47.25588371281164,61.29997423622112,51.19079916924665,49.22174233375684,19.564883903959586,37.47444868878133,352.58192009334385,499.5203377413821,209.3415522167233,76.055493311007,195.8550128435533,26.71037464769547
t0223,161.6189950597423,1559.2810543651926,106.38372383008088,17.225032974306455,25.456082953215923,92.11939142396707,53.81143735519172,36.049430533783735,29.899629292569312,38.03033333398846,17.715505603389516,422.57882737384523,503.0217011221505,302.1109712996799,280.91022614608454,187.6583173755819,127.72059644424027,90.0308224214494,33.155386237719576,28.872866300093104,35.67998988962029,54.61962951917111,85.76216513094755,49.02620471171241,63.5964212200924,53.10853172654217,51.065709205384906,20.29783231365878,38.878333204816585,365.7905012885946,518.2335914952596,217.18399884377206,78.90471813364489,203.1922207155737,27.711010619603076
t0224,167.5092366201922,1616.1094121176272,110.26090318779026,17.85280327486967,26.383835769163497,95.47670389635455,55.77260760389876,37.36326034619009,30.989328179980635,39.416357605942494,18.361151292071693,437.9798102264086,521.3544430666395,313.12147534568925,291.14806414395986,194.4975680451035,132.37540304678862,93.31201651470731,34.363741938099935,29.92514457336944,36.980355352520164,56.610254517744295,88.88778702447401,50.812976052774815,65.91420746315126,55.044084417452765,52.92681075823283,21.037591495039415,40.2952630276965,379.12182049591576,537.1207342937793,225.09931978597572,81.78041878934182,210.59760807599238,28.720944794563877
